INFO:root:Start CPC fine-tuning head for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 157 Loss: 22.68514060974121 acc:  100.000/ 27.455 f1:  100.000/ 23.904
DEBUG:root:Epoch: 158 Loss: 22.67522430419922 acc:  100.000/ 27.054 f1:  100.000/ 22.949
DEBUG:root:Epoch: 159 Loss: 22.670637130737305 acc:  100.000/ 27.255 f1:  100.000/ 23.167
DEBUG:root:Epoch: 160 Loss: 22.662263870239258 acc:  100.000/ 27.255 f1:  100.000/ 23.166
DEBUG:root:Epoch: 161 Loss: 22.66015625 acc:  100.000/ 26.854 f1:  100.000/ 22.831
DEBUG:root:Epoch: 162 Loss: 22.659027099609375 acc:  100.000/ 26.854 f1:  100.000/ 22.831
DEBUG:root:Epoch: 163 Loss: 22.65093231201172 acc:  100.000/ 26.854 f1:  100.000/ 22.799
DEBUG:root:Epoch: 164 Loss: 22.652271270751953 acc:  100.000/ 26.854 f1:  100.000/ 22.799
DEBUG:root:Epoch: 165 Loss: 22.638216018676758 acc:  100.000/ 27.054 f1:  100.000/ 22.966
DEBUG:root:Epoch: 166 Loss: 22.63740348815918 acc:  100.000/ 27.255 f1:  100.000/ 23.091
DEBUG:root:Epoch: 167 Loss: 22.62581443786621 acc:  100.000/ 27.255 f1:  100.000/ 23.091
DEBUG:root:Epoch: 168 Loss: 22.621522903442383 acc:  100.000/ 27.054 f1:  100.000/ 22.904
DEBUG:root:Epoch: 169 Loss: 22.618452072143555 acc:  100.000/ 27.255 f1:  100.000/ 23.023
DEBUG:root:Epoch: 170 Loss: 22.610971450805664 acc:  100.000/ 27.455 f1:  100.000/ 23.170
DEBUG:root:Epoch: 171 Loss: 22.61724090576172 acc:  100.000/ 27.455 f1:  100.000/ 23.170
DEBUG:root:Epoch: 172 Loss: 22.603395462036133 acc:  100.000/ 27.455 f1:  100.000/ 23.170
DEBUG:root:Epoch: 173 Loss: 22.60849380493164 acc:  100.000/ 27.455 f1:  100.000/ 23.170
DEBUG:root:Epoch: 174 Loss: 22.59934425354004 acc:  100.000/ 27.655 f1:  100.000/ 23.345
DEBUG:root:Epoch: 175 Loss: 22.578767776489258 acc:  100.000/ 27.856 f1:  100.000/ 23.469
DEBUG:root:Epoch: 176 Loss: 22.58956527709961 acc:  100.000/ 27.856 f1:  100.000/ 23.469
DEBUG:root:Epoch: 177 Loss: 22.58075523376465 acc:  100.000/ 27.856 f1:  100.000/ 23.469
DEBUG:root:Epoch: 178 Loss: 22.576570510864258 acc:  100.000/ 27.856 f1:  100.000/ 23.469
DEBUG:root:Epoch: 179 Loss: 22.56975746154785 acc:  100.000/ 27.856 f1:  100.000/ 23.469
DEBUG:root:Epoch: 180 Loss: 22.566320419311523 acc:  100.000/ 27.856 f1:  100.000/ 23.449
DEBUG:root:Epoch: 181 Loss: 22.55486297607422 acc:  100.000/ 28.056 f1:  100.000/ 23.634
DEBUG:root:Epoch: 182 Loss: 22.560617446899414 acc:  100.000/ 28.257 f1:  100.000/ 23.780
DEBUG:root:Epoch: 183 Loss: 22.55094337463379 acc:  100.000/ 28.056 f1:  100.000/ 23.595
DEBUG:root:Epoch: 184 Loss: 22.550458908081055 acc:  100.000/ 28.056 f1:  100.000/ 23.563
DEBUG:root:Epoch: 185 Loss: 22.544401168823242 acc:  100.000/ 28.257 f1:  100.000/ 23.706
DEBUG:root:Epoch: 186 Loss: 22.54825782775879 acc:  100.000/ 28.257 f1:  100.000/ 23.706
DEBUG:root:Epoch: 187 Loss: 22.53044891357422 acc:  100.000/ 28.257 f1:  100.000/ 23.706
DEBUG:root:Epoch: 188 Loss: 22.534683227539062 acc:  100.000/ 28.457 f1:  100.000/ 23.851
DEBUG:root:Epoch: 189 Loss: 22.52703094482422 acc:  100.000/ 28.457 f1:  100.000/ 23.851
DEBUG:root:Epoch: 190 Loss: 22.52608871459961 acc:  100.000/ 28.457 f1:  100.000/ 23.851
DEBUG:root:Epoch: 191 Loss: 22.523359298706055 acc:  100.000/ 28.457 f1:  100.000/ 23.851
DEBUG:root:Epoch: 192 Loss: 22.51758575439453 acc:  100.000/ 28.657 f1:  100.000/ 24.029
DEBUG:root:Epoch: 193 Loss: 22.51342010498047 acc:  100.000/ 28.657 f1:  100.000/ 24.029
DEBUG:root:Epoch: 194 Loss: 22.510677337646484 acc:  100.000/ 28.657 f1:  100.000/ 24.029
DEBUG:root:Epoch: 195 Loss: 22.50518798828125 acc:  100.000/ 28.657 f1:  100.000/ 24.029
DEBUG:root:Epoch: 196 Loss: 22.501373291015625 acc:  100.000/ 28.457 f1:  100.000/ 23.746
DEBUG:root:Epoch: 197 Loss: 22.500898361206055 acc:  100.000/ 28.257 f1:  100.000/ 23.536
DEBUG:root:Epoch: 198 Loss: 22.49334144592285 acc:  100.000/ 28.457 f1:  100.000/ 23.717
DEBUG:root:Epoch: 199 Loss: 22.493513107299805 acc:  100.000/ 28.457 f1:  100.000/ 23.750
INFO:root:Training has finished.
INFO:root:best eval acc is 28.857715220632915 at 109.
INFO:root:test f1 is 26.389167480753446.
INFO:root:test acc is 31.180534695103635.
